time/ele	Fe	Cu	Zn	Mn	Ni	Cr	Pb	Cd
1-hour	1400	362	79	223	49	18	74	10
2-hour	1380	429	72	220	45	17	65	10
3-hour	1420	372	75	220	48	18	74	9
4-hour	1342	372	73	212	48	16	76	10
5-hour	6098	871	152	592	261	36	110	30
6-hour	3024	872	96	588	266	40	102	28
7-hour	1996	508	94	584	286	38	102	30
8-hour	1806	1364	93	576	317	35	100	29
9-hour	1786	1758	91	578	347	35	110	27
10-hour	1928	480	95	578	463	33	93	27
11-hour	1725	454	90	568	488	32	102	25
12-hour	1583	506	87	565	504	32	110	25
13-hour	1644	482	87	561	514	34	99	26
14-hour	1583	538	87	561	514	30	100	26
15-hour	2273	513	91	625	180	18	95	18
16-hour	2070	491	89	595	170	17	102	17
17-hour	1585	470	97	602	175	17	100	17
18-hour	2252	434	96	673	221	21	78	19
19-hour	1840	438	92	683	251	23	74	22
20-hour	2460	456	79	232	59	16	78	10
